               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.029386,            0.037364,            0.001668,             0.77017,             0.79379,             0.79715,              0.4842,            0.036566,            0.019804,           0.0030646,           0.0017519,           0.0017519,           0.0017519
                 124,            0.029378,            0.037529,            0.001654,             0.76392,             0.80003,             0.79688,             0.48173,            0.036508,            0.019814,           0.0030426,           0.0017005,           0.0017005,           0.0017005
                 125,             0.02957,             0.03774,           0.0016078,              0.7619,             0.80327,             0.79844,             0.48182,            0.036499,            0.019809,           0.0030384,           0.0016509,           0.0016509,           0.0016509
                 126,            0.029482,            0.037306,           0.0015921,             0.76327,             0.80029,             0.79775,             0.48168,            0.036455,            0.019815,           0.0030195,           0.0016029,           0.0016029,           0.0016029
                 127,            0.029186,            0.037171,           0.0016446,             0.75596,             0.80091,             0.79568,             0.48072,             0.03644,            0.019834,           0.0030089,           0.0015566,           0.0015566,           0.0015566
                 128,            0.029364,            0.037333,           0.0016474,             0.75464,             0.80128,             0.79511,             0.48026,            0.036401,            0.019858,           0.0029883,           0.0015121,           0.0015121,           0.0015121
                 129,            0.029193,            0.037372,           0.0016749,             0.73884,             0.81759,             0.79321,             0.48154,            0.036387,            0.019888,           0.0029769,           0.0014693,           0.0014693,           0.0014693
                 130,            0.029168,             0.03718,           0.0016108,             0.73886,             0.81732,             0.79345,             0.48168,            0.036379,            0.019899,           0.0029652,           0.0014283,           0.0014283,           0.0014283
                 131,             0.02922,            0.036902,           0.0015955,             0.73546,             0.81759,             0.79286,             0.48187,            0.036354,              0.0199,           0.0029585,            0.001389,            0.001389,            0.001389
                 132,            0.028985,            0.036941,           0.0015865,             0.73726,             0.81746,             0.79279,             0.48067,            0.036319,            0.019908,           0.0029427,           0.0013516,           0.0013516,           0.0013516
                 133,            0.028818,            0.036939,            0.001515,             0.78357,             0.76631,             0.79219,             0.48163,            0.036295,            0.019918,           0.0029425,            0.001316,            0.001316,            0.001316
                 134,            0.028894,            0.036863,            0.001548,             0.73454,             0.81717,             0.79182,             0.48023,            0.036285,            0.019932,            0.002942,           0.0012822,           0.0012822,           0.0012822
                 135,            0.028808,            0.036561,           0.0015387,             0.78497,             0.76096,             0.79204,               0.481,            0.036257,            0.019957,           0.0029386,           0.0012503,           0.0012503,           0.0012503
                 136,            0.028902,              0.0368,           0.0015323,             0.73609,             0.81759,             0.79115,             0.47941,            0.036219,            0.019978,           0.0029378,           0.0012202,           0.0012202,           0.0012202
                 137,            0.028618,            0.036136,           0.0015265,             0.77963,             0.77489,             0.79267,             0.48038,            0.036182,            0.019982,           0.0029405,           0.0011921,           0.0011921,           0.0011921
